year,month,total_questions
"2013","1","157852"
"2013","2","153403"
"2013","3","173815"
"2013","4","171548"
"2013","5","166473"
"2013","6","158338"
"2013","7","176642"
"2013","8","170218"
"2013","9","165376"
"2013","10","184139"
"2013","11","176038"
"2013","12","165195"
"2014","1","188800"
"2014","2","187762"
"2014","3","207501"
"2014","4","194029"
"2014","5","176026"
"2014","6","162359"
"2014","7","177079"
"2014","8","163417"
"2014","9","165876"
"2014","10","172891"
"2014","11","166607"
"2014","12","155303"
"2015","1","165985"
"2015","2","168519"
"2015","3","189787"
"2015","4","189980"
"2015","5","185882"
"2015","6","187919"
"2015","7","195452"
"2015","8","181427"
"2015","9","177872"
"2015","10","186437"
"2015","11","178216"
"2015","12","172634"
"2016","1","181381"
"2016","2","188742"
"2016","3","201944"
"2016","4","197069"
"2016","5","189774"
"2016","6","184660"
"2016","7","176975"
"2016","8","181962"
"2016","9","171678"
"2016","10","175400"
"2016","11","175326"
"2016","12","162422"
"2017","1","176970"
"2017","2","175281"
"2017","3","201543"
"2017","4","178511"
"2017","5","186519"
"2017","6","178178"
"2017","7","179861"
"2017","8","177746"
"2017","9","162371"
"2017","10","170084"
"2017","11","169017"
"2017","12","145331"
"2018","1","160546"
"2018","2","153228"
"2018","3","173572"
"2018","4","162984"
"2018","5","168107"
"2018","6","154888"
"2018","7","160095"
"2018","8","158547"
"2018","9","144586"
"2018","10","160504"
"2018","11","149821"
"2018","12","132271"
"2019","1","149629"
"2019","2","146422"
"2019","3","161160"
"2019","4","153558"
"2019","5","151397"
"2019","6","135937"
"2019","7","151081"
"2019","8","137183"
"2019","9","136937"
"2019","10","152722"
"2019","11","148339"
"2019","12","132627"
"2020","1","146736"
"2020","2","145193"
"2020","3","156037"
"2020","4","183018"
"2020","5","186573"
"2020","6","172008"
"2020","7","166136"
"2020","8","148454"
"2020","9","141890"
"2020","10","141950"
"2020","11","135090"
"2020","12","134042"
"2021","1","140010"
"2021","2","131811"
"2021","3","148903"
"2021","4","136023"
"2021","5","133914"
"2021","6","129109"
"2021","7","124131"
"2021","8","122280"
"2021","9","119883"
"2021","10","119009"
"2021","11","119264"
"2021","12","112282"
"2022","1","119461"
"2022","2","114117"
"2022","3","123617"
"2022","4","114424"
"2022","5","116356"
"2022","6","111744"
"2022","7","111064"
"2022","8","113051"
"2022","9","103970"
"2022","10","106370"
"2022","11","109722"
"2022","12","96774"
"2023","1","97211"
"2023","2","85977"
"2023","3","87546"
"2023","4","68749"
"2023","5","66757"
"2023","6","63861"
"2023","7","62951"
"2023","8","60323"
"2023","9","53050"
"2023","10","52745"
"2023","11","50647"
"2023","12","42604"